Date,Open,High,Low,Close,Volume,50SMA,200SMA,RSI,OBV,Labels
12/27/21 6:00,175.1743,175.1743,175.0949,175.1545,2864,172.92386,173.1246145,62.44582447,19569462393,3
12/27/21 7:00,175.1445,175.7799,175.1048,175.6607,64432,173.04497,173.153155,67.10054251,19569465257,3
12/27/21 8:00,175.1842,176.0181,175.08,175.7799,366626,173.155162,173.1743495,68.1031294,19569529689,3
12/27/21 9:00,175.7997,177.1697,175.6111,175.9972,9301992,173.257192,173.1976235,69.90371718,19569896315,3
12/27/21 10:00,176.0082,177.1697,175.8394,177.1596,9712500,173.43012,173.22795,77.28920411,19579198307,3
12/27/21 11:00,177.1548,177.5668,176.8719,177.533,6990437,173.598978,173.259002,79.06631812,19588910807,3
12/27/21 12:00,177.537,178.063,177.4774,177.944,7129873,173.785608,173.2911165,80.84319826,19595901244,3
12/27/21 13:00,177.944,178.6587,177.7653,178.5843,6529193,173.967474,173.3291125,83.23122995,19603031117,1
12/27/21 14:00,178.5793,178.9168,178.2269,178.5992,7459310,174.144476,173.366389,83.28345166,19609560310,1
12/27/21 15:00,178.5992,179.1055,178.2517,179.0161,10769240,174.32495,173.406296,84.71753276,19617019620,1
12/27/21 16:00,179.0161,179.2345,178.8275,178.946,6584909,174.470306,173.44684,83.42161776,19606250380,1
12/27/21 17:00,178.9367,179.1849,178.9367,178.9863,61025,174.615638,173.484463,83.57715107,19612835289,1
12/27/21 18:00,178.9863,179.026,178.7878,178.7977,46064,174.75839,173.5151875,79.8038086,19612774264,1
12/27/21 19:00,178.7878,178.7977,178.49,178.49,68465,174.892804,173.539856,73.93863864,19612728200,1
12/28/21 4:00,178.9367,179.8401,178.9268,179.8004,35008,175.061964,173.5738565,80.50858047,19612796665,1
12/28/21 6:00,179.7507,179.8103,179.4331,179.5323,17244,175.40703,173.6370655,75.09587022,19612817653,1
12/28/21 7:00,179.4529,179.7507,179.3338,179.572,115311,175.567848,173.666251,75.3111462,19612834897,1
12/28/21 8:00,179.5223,179.711,178.8771,178.897,454415,175.712188,173.6911185,65.01988985,19612719586,1
12/28/21 9:00,178.9168,179.1154,177.5965,178.6687,9763221,175.859508,173.7164825,61.93708034,19612265171,1
12/28/21 10:00,178.6786,178.8474,177.2292,178.5893,11109116,176.000474,173.742194,60.85637862,19602501950,1
12/28/21 11:00,178.5793,180.0088,178.3809,179.2047,13250111,176.135482,173.7708335,65.83249022,19613611066,1
12/28/21 12:00,179.2047,179.3437,177.9738,178.1822,8177483,176.234952,173.7953035,53.63277058,19600360955,1
12/28/21 13:00,178.1723,178.7183,177.9738,178.4459,5903152,176.346842,173.8246165,55.9024053,19608538438,1
12/28/21 14:00,178.4304,178.4403,177.7653,178.1922,6226819,176.445582,173.852661,53.20413634,19602635286,1
12/28/21 15:00,178.1922,178.5098,177.8348,178.083,10096707,176.550416,173.8765855,52.03980324,19596408467,1
12/28/21 16:00,177.9837,178.3808,177.8944,178.2319,4169970,176.650084,173.900659,53.53305391,19606505174,1
12/28/21 17:00,178.2418,178.2914,178.1425,178.1425,25798,176.725926,173.917237,52.47661335,19602335204,1
12/28/21 18:00,178.1822,178.5098,178.1723,178.4602,58389,176.804548,173.9363465,55.81375416,19602361002,1
12/28/21 19:00,178.4701,178.5396,178.3212,178.5396,48059,176.884758,173.961818,56.63337083,19602419391,1
12/29/21 4:00,178.5396,178.7878,178.2418,178.3709,19462,176.961396,173.982566,54.3275627,19602371332,1
12/29/21 5:00,178.4106,178.4106,178.1425,178.1922,6439,177.031284,174.0017005,51.91627817,19602351870,1
12/29/21 6:00,178.1723,178.1922,177.944,177.9837,6401,177.096208,174.0212075,49.1738896,19602345431,3
12/29/21 7:00,178.1624,178.3212,177.8944,178.1128,103201,177.157558,174.045033,50.90324054,19602351832,1
12/29/21 8:00,178.1325,178.4284,177.7157,177.9638,312709,177.218708,174.070198,48.83787135,19602248631,3
12/29/21 9:00,177.9638,179.3139,177.944,179.0062,8550496,177.299714,174.100426,60.81610299,19602561340,1
12/29/21 10:00,178.9963,179.0558,176.8421,178.5148,11650746,177.376848,174.1279985,54.35550032,19594010844,1
12/29/21 11:00,178.5098,178.629,177.5469,177.7703,6846673,177.440084,174.1524445,46.32592183,19582360098,3
12/29/21 12:00,177.7722,178.0603,177.3732,178.0184,4254373,177.496768,174.1739115,49.02817585,19589206771,1
12/29/21 13:00,178.0234,178.1669,177.7057,177.8249,3866621,177.555338,174.1959995,47.0390643,19584952398,3
12/29/21 14:00,177.8149,178.3345,177.676,178.2617,4409490,177.621156,174.218435,51.79356349,19588819019,1
12/29/21 15:00,178.2517,178.49,178.0433,178.073,8536551,177.688462,174.241466,49.71707902,19584409529,1
12/29/21 16:00,178.073,178.212,177.8944,177.9539,4813696,177.743458,174.260377,48.398195,19575872978,3
12/29/21 17:00,177.9539,177.9539,177.8546,177.8647,23849,177.80064,174.2801825,47.38434511,19571059282,3
12/29/21 18:00,177.944,177.9738,177.7057,177.7057,33270,177.860004,174.294428,45.55256117,19571035433,3
12/29/21 19:00,177.7057,177.7454,177.5668,177.5767,43773,177.917384,174.3052485,44.06421926,19571002163,3
12/30/21 4:00,178.0929,178.5694,178.0532,178.4602,10695,177.991838,174.317558,54.92633271,19571045936,1
12/30/21 5:00,178.4602,178.49,178.3709,178.4403,4408,178.059938,174.327813,54.66882185,19571035241,1
12/30/21 6:00,178.4403,178.6885,178.3311,178.5893,11982,178.13737,174.338038,56.32007884,19571039649,1
12/30/21 7:00,178.5793,178.6687,178.3113,178.3709,75554,178.202492,174.3389315,53.25775199,19571027667,1
12/30/21 8:00,178.3807,178.629,178.1922,178.2914,360638,178.26523,174.3390305,52.14624924,19570952113,1
12/30/21 9:00,178.3014,178.617,177.5866,178.2205,6954065,178.316426,174.338676,51.12155208,19570591475,1
12/30/21 10:00,178.2219,179.2544,178.1822,178.6935,11076947,178.374698,174.340438,57.16848903,19577545540,1
12/30/21 11:00,178.6985,178.8473,178.2815,178.4949,5971381,178.424652,174.340264,54.1399137,19566468593,1
12/30/21 12:00,178.49,178.6488,178.2219,178.5255,3665815,178.45197,174.333989,54.53952933,19572439974,1
12/30/21 13:00,178.5198,178.5494,177.8546,177.9787,4866287,178.460884,174.323491,46.70731974,19568774159,3
12/30/21 14:00,177.9738,178.0414,177.3583,177.9341,5539127,178.460686,174.3144575,46.12547806,19563907872,3
12/30/21 15:00,177.9398,177.9986,176.7924,176.9513,9594270,178.428026,174.296837,35.6010657,19558368745,3
12/30/21 16:00,176.9513,177.0803,176.8024,176.8222,3385538,178.392486,174.278819,34.48787594,19548774475,3
12/30/21 17:00,176.8222,176.8222,176.6138,176.6832,49964,178.345828,174.264077,33.2812328,19545388937,3
12/30/21 18:00,176.7031,176.9215,176.6832,176.9215,39932,178.305338,174.2563335,37.32950277,19545438901,3
12/30/21 19:00,176.9215,176.9513,175.8295,176.3556,69328,178.252724,174.255332,32.31501925,19545398969,3
12/31/21 4:00,176.6832,176.8322,176.4648,176.6038,3950,178.208846,174.251212,36.35330133,19545468297,3
12/31/21 5:00,176.6138,176.6138,176.5046,176.5046,786,178.169138,174.2493775,35.44311399,19545464347,3
12/31/21 6:00,176.5046,176.6932,176.5046,176.5343,2233,178.103816,174.245307,35.96008612,19545465133,3
12/31/21 7:00,176.4549,176.9413,176.4152,176.7329,30323,178.040878,174.256326,39.45175916,19545467366,3
12/31/21 8:00,176.5941,177.0505,176.4251,176.9612,162120,177.989456,174.268834,43.28025724,19545497689,3
12/31/21 9:00,176.9612,177.9241,176.4251,176.584,5936208,177.929696,174.2822855,38.90337702,19545335569,3
12/31/21 10:00,176.5939,177.2887,176.0281,177.0952,7817279,177.89366,174.2967045,46.76127394,19551271777,3
12/31/21 11:00,177.091,177.13,176.3457,176.4102,4868915,177.84849,174.306706,39.44108366,19543454498,3
12/31/21 12:00,176.4152,176.5443,175.9685,176.2663,4492042,177.80203,174.3151935,38.0920425,19538585583,3
12/31/21 13:00,176.2663,176.6138,176.0628,176.2564,4531417,177.743064,174.321249,37.99575486,19534093541,3
12/31/21 14:00,176.2564,176.4549,175.9983,176.311,4521085,177.70564,174.32723,38.91287885,19538624958,3
12/31/21 15:00,176.3159,176.9711,176.1472,176.3159,11355065,177.66304,174.330506,39.00008036,19543146043,3
12/31/21 16:00,176.3159,176.5046,176.1571,176.2067,8045804,177.62333,174.3429145,37.70820259,19531790978,3
12/31/21 17:00,176.1869,176.2762,176.1869,176.2564,19749,177.586798,174.351301,38.7034034,19539836782,3
12/31/21 18:00,176.2564,176.3954,176.2067,176.306,18710,177.54828,174.3723465,39.73814597,19539856531,3
12/31/21 19:00,176.306,176.4549,176.2067,176.4053,16646,177.513536,174.3944095,41.85438717,19539875241,3
1/3/22 4:00,176.9612,177.0406,176.4648,176.7825,39767,177.479982,174.4174155,49.15821584,19539891887,3
1/3/22 5:00,176.7825,176.9215,176.6932,176.8719,34709,177.446628,174.440844,50.73764204,19539931654,3
1/3/22 6:00,176.8719,177.1597,176.8619,177.1498,24005,177.422206,174.4603505,55.37811436,19539966363,3
1/3/22 7:00,177.1597,177.1995,176.7924,176.9215,70022,177.396792,174.479609,51.1179852,19539942358,3
1/3/22 8:00,177.0704,177.1796,176.2762,176.3556,336538,177.36423,174.496485,42.40910734,19539872336,3